ST,BT,AD,JS,AP,AT,FI,CS,EM,DE,MR,TS,CT,AG,PN,PL,FA
261.620,152.400,1115.000,5.862,1289.700,16.900,9.000,1.076,304.580,2.490,0.114,0.082,8.36E-06,32.00,0.00,0.00,4.00
261.620,152.400,1115.000,5.862,1289.700,16.900,9.000,1.076,304.580,2.490,0.114,0.082,8.36E-06,32.00,0.00,0.00,4.00
261.620,152.400,1149.000,5.862,1347.500,16.400,25.000,1.076,304.580,2.490,0.114,0.082,8.36E-06,33.00,0.00,0.00,4.40
261.620,152.400,1183.000,5.862,1097.300,16.000,57.000,1.076,304.580,2.490,0.114,0.082,8.36E-06,34.00,0.00,0.00,4.30
261.620,152.400,1219.000,5.862,1422.000,15.800,29.000,1.076,304.580,2.490,0.114,0.082,8.36E-06,35.00,0.00,0.00,4.50
261.620,152.400,1255.000,5.862,1472.800,16.100,26.000,1.076,304.580,2.490,0.114,0.082,8.36E-06,36.00,0.00,0.00,5.90
261.620,152.400,1293.000,5.862,1594.400,15.500,43.000,1.076,304.580,2.490,0.114,0.082,8.36E-06,37.00,0.00,0.00,5.20
261.620,152.400,1332.000,5.862,1749.100,15.900,35.000,1.076,304.580,2.490,0.114,0.082,8.36E-06,38.00,9.00,21.70,5.80
261.620,152.400,1413.000,5.862,1180.200,16.300,9.000,1.076,304.580,2.490,0.114,0.082,8.36E-06,40.00,12.00,27.90,4.90
259.080,152.400,1115.000,6.100,1289.700,16.900,9.000,1.031,993.510,2.493,0.114,0.108,8.36E-06,32.00,0.00,0.00,3.30
259.080,152.400,1115.000,6.100,1289.700,16.900,9.000,1.031,993.510,2.493,0.114,0.108,8.36E-06,32.00,0.00,0.00,3.30
259.080,152.400,1149.000,6.100,1347.500,16.400,25.000,1.031,993.510,2.493,0.114,0.108,8.36E-06,33.00,0.00,0.00,1.90
259.080,152.400,1183.000,6.100,1097.300,16.000,57.000,1.031,993.510,2.493,0.114,0.108,8.36E-06,34.00,0.00,0.00,1.30
259.080,152.400,1219.000,6.100,1422.000,15.800,29.000,1.031,993.510,2.493,0.114,0.108,8.36E-06,35.00,0.00,0.00,1.10
259.080,152.400,1255.000,6.100,1472.800,16.100,26.000,1.031,993.510,2.493,0.114,0.108,8.36E-06,36.00,4.00,22.20,2.10
259.080,152.400,1293.000,6.100,1594.400,15.500,43.000,1.031,993.510,2.493,0.114,0.108,8.36E-06,37.00,23.00,53.50,2.00
259.080,152.400,1332.000,6.100,1749.100,15.900,35.000,1.031,993.510,2.493,0.114,0.108,8.36E-06,38.00,14.00,141.10,2.00
259.080,152.400,1413.000,6.100,1180.200,16.300,9.000,1.031,993.510,2.493,0.114,0.108,8.36E-06,40.00,13.00,143.40,1.40
259.080,152.400,1115.000,5.980,1289.700,16.900,9.000,1.058,920.991,2.483,0.114,0.166,8.36E-06,32.00,0.00,0.00,4.20
259.080,152.400,1115.000,5.980,1289.700,16.900,9.000,1.058,920.991,2.483,0.114,0.166,8.36E-06,32.00,0.00,0.00,4.20
259.080,152.400,1149.000,5.980,1347.500,16.400,25.000,1.058,920.991,2.483,0.114,0.166,8.36E-06,33.00,0.00,0.00,1.10
259.080,152.400,1183.000,5.980,1097.300,16.000,57.000,1.058,920.991,2.483,0.114,0.166,8.36E-06,34.00,0.00,0.00,1.20
259.080,152.400,1219.000,5.980,1422.000,15.800,29.000,1.058,920.991,2.483,0.114,0.166,8.36E-06,35.00,0.00,0.00,1.10
259.080,152.400,1255.000,5.980,1472.800,16.100,26.000,1.058,920.991,2.483,0.114,0.166,8.36E-06,36.00,29.00,129.60,1.70
259.080,152.400,1293.000,5.980,1594.400,15.500,43.000,1.058,920.991,2.483,0.114,0.166,8.36E-06,37.00,27.00,152.50,1.50
259.080,152.400,1332.000,5.980,1749.100,15.900,35.000,1.058,920.991,2.483,0.114,0.166,8.36E-06,38.00,22.00,172.50,1.80
259.080,152.400,1413.000,5.980,1180.200,16.300,9.000,1.058,920.991,2.483,0.114,0.166,8.36E-06,40.00,22.00,173.20,1.80
259.080,177.800,1526.000,6.096,1234.300,17.200,28.000,1.047,801.335,2.270,0.114,0.092,7.29E-06,29.00,0.00,0.00,7.50
259.080,177.800,1732.000,6.096,1599.600,17.200,11.000,1.047,801.335,2.270,0.114,0.092,7.29E-06,33.00,0.00,0.00,8.20
259.080,177.800,1122.000,6.096,1019.300,16.500,20.000,1.047,801.335,2.270,0.114,0.092,7.29E-06,22.00,0.00,0.00,5.20
