IRI_Initial,TC,SPALL,PATCH,FAULT,AGE,FI,P200,IRI
2.36,16,0,0,2.5,11,314,11.69999981,2.427
2.36,16,0,0,2.5,11,314,11.69999981,2.371
1.29,0,32.35,0,3.4,2,66,12,1.29
1.29,0,32.35,0,3.4,2,66,12,1.302
1.29,0,32.35,0,3.4,2,66,12,1.328
1.69,3.85,96.15,7.500000238,13,10,1016,4.699999809,2.085
1.69,3.85,96.15,7.500000238,13,10,1016,4.699999809,2.203
1.69,0,92.31,5.099999815,23.4,11,962,4.699999809,1.704
1.69,0,92.31,5.099999815,23.4,11,962,4.699999809,2.102
1.69,0,92.31,5.099999815,23.4,11,962,4.699999809,1.756
1.69,3.85,96.15,7.500000238,13,10,1016,4.699999809,2.125
1.69,3.85,96.15,7.500000238,13,10,1016,4.699999809,2.458
1.69,0,92.31,5.099999815,23.4,11,962,4.699999809,1.938
1.69,0,92.31,5.099999815,23.4,11,962,4.699999809,1.997
1.69,3.85,96.15,7.500000238,13,10,1016,4.699999809,2.299
1.86,0,0,0,0,28,552,35.20000076,1.882
1.69,0,92.31,5.099999815,23.4,11,962,4.699999809,1.861
1.69,0,92.31,5.099999815,23.4,11,962,4.699999809,2.221
2.36,16,0,0,2.5,11,314,11.69999981,2.363
1.69,0,92.31,5.099999815,23.4,11,962,4.699999809,2.098
1.69,0,92.31,5.099999815,23.4,11,962,4.699999809,1.695
1.69,3.85,96.15,7.500000238,13,10,1016,4.699999809,2.197
1.69,3.85,96.15,7.500000238,13,10,1016,4.699999809,1.874
1.69,0,92.31,5.099999815,23.4,11,962,4.699999809,2.103
1.69,3.85,96.15,7.500000238,13,10,1016,4.699999809,2.255
1.69,0,92.31,5.099999815,23.4,11,962,4.699999809,1.75
1.69,0,92.31,5.099999815,23.4,11,962,4.699999809,1.726
1.69,0,92.31,5.099999815,23.4,11,962,4.699999809,1.895
1.69,0,92.31,5.099999815,23.4,11,962,4.699999809,1.748
1.69,3.85,96.15,7.500000238,13,10,1016,4.699999809,2.32
1.69,3.85,96.15,7.500000238,13,10,1016,4.699999809,2.331
1.69,0,92.31,5.099999815,23.4,11,962,4.699999809,1.755
1.69,0,92.31,5.099999815,23.4,11,962,4.699999809,2.209
