ST,BT,BL,AD,JS,AP,AT,FI,CS,EM,DE,MR,TS,CT,AG,LC
259.08,152.4,0,1149,6100,1347.5,16.39999962,25,48.99071718,47229.106,2.493279427,5.20611787,5.11246454,8.38E-06,33,0.688524559
259.08,152.4,0,1183,6100,1097.300049,16,57,48.99071718,47229.106,2.493279427,5.20611787,5.11246454,8.38E-06,34,0.688524559
259.08,152.4,0,1219,6100,1422,15.80000019,29,48.99071718,47229.106,2.493279427,5.20611787,5.11246454,8.38E-06,35,0.655737705
259.08,152.4,0,1255,6100,1472.800049,16.10000038,26,48.99071718,47229.106,2.493279427,5.20611787,5.11246454,8.38E-06,36,0.754098345
259.08,152.4,0,1293,6100,1594.400024,15.5,43,48.99071718,47229.106,2.493279427,5.20611787,5.11246454,8.38E-06,37,0.754098345
259.08,152.4,0,1332,6100,1749.099976,15.89999962,35,48.99071718,47229.106,2.493279427,5.20611787,5.11246454,8.38E-06,38,0.754098345
259.08,152.4,0,1413,6100,1180.199951,16.29999924,9,48.99071718,47229.106,2.493279427,5.20611787,5.11246454,8.38E-06,40,0.721311491
284.48,101.6,0,1006,4482.352941,157.3000031,20,0,32.34627405,24418.94167,2.109882911,4.86942425,3.028441249,8.38E-06,8,0.984251969
284.48,101.6,0,214,4482.352941,183.6999969,19,0,32.34627405,24418.94167,2.109882911,4.86942425,3.028441249,8.38E-06,10,1.968503976
200.66,147.32,1,7674,4482.352941,152.1999969,22.10000038,0,31.15446555,35163.276,2.295050612,4.6884368,2.98543108,8.38E-06,6,4.527559118
200.66,147.32,1,8472,4482.352941,212.8000031,22.70000076,0,31.15446555,35163.276,2.295050612,4.6884368,2.98543108,8.38E-06,7,4.921259843
200.66,147.32,1,9353,4482.352941,157.6000061,22.5,0,31.15446555,35163.276,2.295050612,4.6884368,2.98543108,8.38E-06,8,21.06299253
200.66,147.32,1,10234,4482.352941,94.69999695,22.20000076,0,31.15446555,35163.276,2.295050612,4.6884368,2.98543108,8.38E-06,9,33.92388502
200.66,147.32,1,4304,4482.352941,226.6999969,23,0,31.15446555,35163.276,2.295050612,4.6884368,2.98543108,8.38E-06,10,46.45669085
200.66,147.32,1,4391,4482.352941,228.8000031,23.10000038,0,31.15446555,35163.276,2.295050612,4.6884368,2.98543108,8.38E-06,11,41.79790139
200.66,147.32,1,4574,4482.352941,229.8999939,23.20000076,0,31.15446555,35163.276,2.295050612,4.6884368,2.98543108,8.38E-06,15,62.53280915
200.66,147.32,1,4371,4482.352941,251.6999969,23.10000038,0,31.15446555,35163.276,2.295050612,4.6884368,2.98543108,8.38E-06,17,78.28083939
200.66,147.32,1,4513,4482.352941,113.5999985,22.89999962,0,31.15446555,35163.276,2.295050612,4.6884368,2.98543108,8.38E-06,18,85.43307137
