ST,BT,AD,JS,AP,AT,FI,SC,EM,DE,TS,CT,AG,TL
261.62,152.4,1149,5861.538462,1347.5,16.4,25,51.15222444,14478.996,2490.336548,3.974415454,8.48E-06,33,2.427821554
261.62,152.4,1183,5861.538462,1097.3,16,57,51.15222444,14478.996,2490.336548,3.974415454,8.48E-06,34,2.427821554
261.62,152.4,1219,5861.538462,1422,15.8,29,51.15222444,14478.996,2490.336548,3.974415454,8.48E-06,35,2.427821554
261.62,152.4,1255,5861.538462,1472.8,16.1,26,51.15222444,14478.996,2490.336548,3.974415454,8.48E-06,36,2.427821554
261.62,152.4,1293,5861.538462,1594.4,15.5,43,51.15222444,14478.996,2490.336548,3.974415454,8.48E-06,37,2.427821554
261.62,152.4,1332,5861.538462,1749.1,15.9,35,51.15222444,14478.996,2490.336548,3.974415454,8.48E-06,38,2.427821554
261.62,152.4,1413,5861.538462,1180.2,16.3,9,51.15222444,14478.996,2490.336548,3.974415454,8.48E-06,40,2.427821554
259.08,152.4,1115,6100,1289.7,16.9,9,48.99071718,47229.106,2493.273201,5.11246454,8.48E-06,32,1.21311477
259.08,152.4,1115,6100,1289.7,16.9,9,48.99071718,47229.106,2493.273201,5.11246454,8.48E-06,32,1.21311477
259.08,152.4,1255,6100,1472.8,16.1,26,48.99071718,47229.106,2493.273201,5.11246454,8.48E-06,36,0.163934426
259.08,152.4,1293,6100,1594.4,15.5,43,48.99071718,47229.106,2493.273201,5.11246454,8.48E-06,37,0.196721319
259.08,152.4,1332,6100,1749.1,15.9,35,48.99071718,47229.106,2493.273201,5.11246454,8.48E-06,38,0.327868852
259.08,152.4,1413,6100,1180.2,16.3,9,48.99071718,47229.106,2493.273201,5.11246454,8.48E-06,40,0.655737705
259.08,152.4,1115,5980.392157,1289.7,16.9,9,50.27429167,43781.726,2483.395282,7.869219411,8.48E-06,32,3.311475457
259.08,152.4,1115,5980.392157,1289.7,16.9,9,50.27429167,43781.726,2483.395282,7.869219411,8.48E-06,32,3.311475457
259.08,152.4,1413,5980.392157,1180.2,16.3,9,50.27429167,43781.726,2483.395282,7.869219411,8.48E-06,40,0.557377065
259.08,177.8,1526,6096,1234.3,17.2,28,49.7801672,38093.549,2267.252828,4.39196212,7.29E-06,29,2.427821554
259.08,177.8,1732,6096,1599.6,17.2,11,49.7801672,38093.549,2267.252828,4.39196212,7.29E-06,33,4.855643107
259.08,177.8,1375,6096,1512.2,16.2,20,49.7801672,38093.549,2267.252828,4.39196212,7.29E-06,26,2.427821554
259.08,177.8,2088,6096,1649.5,16.5,23,49.7801672,38093.549,2267.252828,4.39196212,7.29E-06,40,7.283464661
259.08,177.8,2192,6096,1741.3,16.8,1,49.7801672,38093.549,2267.252828,4.39196212,7.29E-06,42,7.283464661
259.08,177.8,2294,6096,1521.1,18,20,49.7801672,38093.549,2267.252828,4.39196212,7.29E-06,44,7.283464661
284.48,101.6,657,4482.352941,189.8,19.9,0,32.34627405,24418.94167,2109.877642,3.028441249,8.48E-06,2,2.427821554
284.48,101.6,835,4482.352941,295.9,18.6,0,32.34627405,24418.94167,2109.877642,3.028441249,8.48E-06,5,2.427821554
284.48,101.6,875,4482.352941,165.2,19.8,0,32.34627405,24418.94167,2109.877642,3.028441249,8.48E-06,6,2.427821554
284.48,101.6,947,4482.352941,111.2,20.4,0,32.34627405,24418.94167,2109.877642,3.028441249,8.48E-06,7,2.427821554
284.48,101.6,1006,4482.352941,157.3,20,0,32.34627405,24418.94167,2109.877642,3.028441249,8.48E-06,8,2.427821554
284.48,101.6,1885,4482.352941,121.7,19.2,0,32.34627405,24418.94167,2109.877642,3.028441249,8.48E-06,9,4.855643107
284.48,101.6,214,4482.352941,183.7,19,0,32.34627405,24418.94167,2109.877642,3.028441249,8.48E-06,10,4.855643107
284.48,101.6,219,4482.352941,107.8,18.3,0,32.34627405,24418.94167,2109.877642,3.028441249,8.48E-06,13,6.496063055
284.48,101.6,220,4482.352941,298.6,17.9,0,32.34627405,24418.94167,2109.877642,3.028441249,8.48E-06,12,4.855643107
200.66,147.32,4698,4482.352941,190.6,23.3,0,31.15446555,35163.276,2295.044881,2.98543108,8.48E-06,22,0.656167979
210.82,154.94,4698,4482.352941,190.6,23.3,0,44.7469924,29928.03647,2287.436014,3.8955394,8.48E-06,22,1.377952693
200.66,147.32,6166,4482.352941,193.9,23.6,0,31.15446555,35163.276,2295.044881,2.98543108,8.48E-06,23,2.427821554
210.82,154.94,4417,4482.352941,102.8,23.7,0,44.7469924,29928.03647,2287.436014,3.8955394,8.48E-06,19,1.049868782
210.82,154.94,4436,4482.352941,245.9,23.3,0,44.7469924,29928.03647,2287.436014,3.8955394,8.48E-06,21,1.377952693
210.82,154.94,6166,4482.352941,193.9,23.6,0,44.7469924,29928.03647,2287.436014,3.8955394,8.48E-06,23,1.443569585
205.74,154.94,2800,4482.352941,151.1,23.1,0,29.55553787,34559.68458,2292.241602,3.918521933,8.48E-06,4,7.611548807
205.74,154.94,7674,4482.352941,152.2,22.1,0,29.55553787,34559.68458,2292.241602,3.918521933,8.48E-06,6,7.086614298
205.74,154.94,8472,4482.352941,212.8,22.7,0,29.55553787,34559.68458,2292.241602,3.918521933,8.48E-06,7,7.611548807
205.74,154.94,9353,4482.352941,157.6,22.5,0,29.55553787,34559.68458,2292.241602,3.918521933,8.48E-06,8,9.645669166
