ST,BT,AD,JS,AP,AT,FI,CS,EM,DE,TS,CT,AG,SP
261.62,152.4,1219,5861.538462,1422,15.80000019,29,51.15222444,14478.996,2.490337072,3.94380272,8.40E-06,35,38.89999914
261.62,152.4,1255,5861.538462,1472.800049,16.10000038,26,51.15222444,14478.996,2.490337072,3.94380272,8.40E-06,36,43.89999914
261.62,152.4,1293,5861.538462,1594.400024,15.5,43,51.15222444,14478.996,2.490337072,3.94380272,8.40E-06,37,44.09999919
261.62,152.4,1332,5861.538462,1749.099976,15.89999962,35,51.15222444,14478.996,2.490337072,3.94380272,8.40E-06,38,44.50000072
261.62,152.4,1413,5861.538462,1180.199951,16.29999924,9,51.15222444,14478.996,2.490337072,3.94380272,8.40E-06,40,44.40000153
259.08,152.4,1115,6100,1289.699951,16.89999962,9,48.99071718,47229.106,2.493273726,5.11246454,8.40E-06,32,8.899999857
259.08,152.4,1115,6100,1289.699951,16.89999962,9,48.99071718,47229.106,2.493273726,5.11246454,8.40E-06,32,8.899999857
259.08,152.4,1219,6100,1422,15.80000019,29,48.99071718,47229.106,2.493273726,5.11246454,8.40E-06,35,10.69999981
259.08,152.4,1255,6100,1472.800049,16.10000038,26,48.99071718,47229.106,2.493273726,5.11246454,8.40E-06,36,13.50000036
259.08,152.4,1293,6100,1594.400024,15.5,43,48.99071718,47229.106,2.493273726,5.11246454,8.40E-06,37,15.29999983
259.08,152.4,1332,6100,1749.099976,15.89999962,35,48.99071718,47229.106,2.493273726,5.11246454,8.40E-06,38,15.29999959
259.08,152.4,1413,6100,1180.199951,16.29999924,9,48.99071718,47229.106,2.493273726,5.11246454,8.40E-06,40,15.30000019
259.08,152.4,1115,5980.392157,1289.699951,16.89999962,9,50.27429167,43781.726,2.483395804,7.869219411,8.40E-06,32,5.599999905
259.08,152.4,1115,5980.392157,1289.699951,16.89999962,9,50.27429167,43781.726,2.483395804,7.869219411,8.40E-06,32,5.599999905
259.08,152.4,1183,5980.392157,1097.300049,16,57,50.27429167,43781.726,2.483395804,7.869219411,8.40E-06,34,5.50000003
259.08,152.4,1219,5980.392157,1422,15.80000019,29,50.27429167,43781.726,2.483395804,7.869219411,8.40E-06,35,5.099999815
259.08,152.4,1255,5980.392157,1472.800049,16.10000038,26,50.27429167,43781.726,2.483395804,7.869219411,8.40E-06,36,7.50000003
259.08,152.4,1293,5980.392157,1594.400024,15.5,43,50.27429167,43781.726,2.483395804,7.869219411,8.40E-06,37,7.599999934
259.08,152.4,1332,5980.392157,1749.099976,15.89999962,35,50.27429167,43781.726,2.483395804,7.869219411,8.40E-06,38,7.599999934
259.08,152.4,1413,5980.392157,1180.199951,16.29999924,9,50.27429167,43781.726,2.483395804,7.869219411,8.40E-06,40,8
259.08,177.8,1732,6096,1599.599976,17.20000076,11,49.7801672,38093.549,2.28263103,4.39196212,7.29E-06,33,6.599999905
259.08,177.8,2088,6096,1649.5,16.5,23,49.7801672,38093.549,2.28263103,4.39196212,7.29E-06,40,8.800000191
259.08,177.8,2192,6096,1741.300049,16.79999924,1,49.7801672,38093.549,2.28263103,4.39196212,7.29E-06,42,8.800000191
259.08,177.8,2294,6096,1521.099976,18,20,49.7801672,38093.549,2.28263103,4.39196212,7.29E-06,44,8.800000191
284.48,101.6,835,4482.352941,295.8999939,18.60000038,0,32.34627405,24418.94167,2.109878086,3.028441249,8.40E-06,5,6.999999911
284.48,101.6,875,4482.352941,165.1999969,19.79999924,0,32.34627405,24418.94167,2.109878086,3.028441249,8.40E-06,6,7.999999911
284.48,101.6,947,4482.352941,111.1999969,20.39999962,0,32.34627405,24418.94167,2.109878086,3.028441249,8.40E-06,7,5.699999928
284.48,101.6,1006,4482.352941,157.3000031,20,0,32.34627405,24418.94167,2.109878086,3.028441249,8.40E-06,8,10.10000038
284.48,101.6,1885,4482.352941,121.6999969,19.20000076,0,32.34627405,24418.94167,2.109878086,3.028441249,8.40E-06,9,10.50000036
284.48,101.6,214,4482.352941,183.6999969,19,0,32.34627405,24418.94167,2.109878086,3.028441249,8.40E-06,10,8
284.48,101.6,219,4482.352941,107.8000031,18.29999924,0,32.34627405,24418.94167,2.109878086,3.028441249,8.40E-06,13,5.5
200.66,147.32,2800,4482.352941,151.1000061,23.10000038,0,31.15446555,35163.276,2.295045363,2.98543108,8.40E-06,4,0.400000006
200.66,147.32,7674,4482.352941,152.1999969,22.10000038,0,31.15446555,35163.276,2.295045363,2.98543108,8.40E-06,6,0.400000006
210.82,154.94,2800,4482.352941,151.1000061,23.10000038,0,44.7469924,29928.03647,2.287436496,3.8955394,8.40E-06,4,1.299999952
279.4,160.02,2800,4482.352941,151.1000061,23.10000038,0,31.91124753,32396.48465,2.277291461,3.045185667,0.0000081,4,0.200000003
200.66,147.32,4574,4482.352941,229.8999939,23.20000076,0,31.15446555,35163.276,2.295045363,2.98543108,8.40E-06,15,0.600000024
200.66,147.32,4371,4482.352941,251.6999969,23.10000038,0,31.15446555,35163.276,2.295045363,2.98543108,8.40E-06,17,0.600000024
200.66,147.32,4513,4482.352941,113.5999985,22.89999962,0,31.15446555,35163.276,2.295045363,2.98543108,8.40E-06,18,0.600000024
200.66,147.32,4417,4482.352941,102.8000031,23.70000076,0,31.15446555,35163.276,2.295045363,2.98543108,8.40E-06,19,0.600000024
200.66,147.32,4436,4482.352941,245.8999939,23.29999924,0,31.15446555,35163.276,2.295045363,2.98543108,8.40E-06,21,1.100000024
200.66,147.32,4698,4482.352941,190.6000061,23.29999924,0,31.15446555,35163.276,2.295045363,2.98543108,8.40E-06,22,1.700000048
210.82,154.94,4698,4482.352941,190.6000061,23.29999924,0,44.7469924,29928.03647,2.287436496,3.8955394,8.40E-06,22,0.400000006
200.66,147.32,6166,4482.352941,193.8999939,23.60000038,0,31.15446555,35163.276,2.295045363,2.98543108,8.40E-06,23,1.700000048
210.82,154.94,4417,4482.352941,102.8000031,23.70000076,0,44.7469924,29928.03647,2.287436496,3.8955394,8.40E-06,19,0.400000006
210.82,154.94,4436,4482.352941,245.8999939,23.29999924,0,44.7469924,29928.03647,2.287436496,3.8955394,8.40E-06,21,0.400000006
210.82,154.94,6166,4482.352941,193.8999939,23.60000038,0,44.7469924,29928.03647,2.287436496,3.8955394,8.40E-06,23,0.400000006
279.4,160.02,4417,4482.352941,102.8000031,23.70000076,0,31.91124753,32396.48465,2.277291461,3.045185667,0.0000081,19,0.400000006
279.4,160.02,4436,4482.352941,245.8999939,23.29999924,0,31.91124753,32396.48465,2.277291461,3.045185667,0.0000081,21,0.400000006
279.4,160.02,4698,4482.352941,190.6000061,23.29999924,0,31.91124753,32396.48465,2.277291461,3.045185667,0.0000081,22,0.400000006
279.4,160.02,6166,4482.352941,193.8999939,23.60000038,0,31.91124753,32396.48465,2.277291461,3.045185667,0.0000081,23,0.899999976
205.74,154.94,2800,4482.352941,151.1000061,23.10000038,0,29.55553787,34559.68458,2.292242084,3.918521933,8.40E-06,4,0.800000012
205.74,154.94,7674,4482.352941,152.1999969,22.10000038,0,29.55553787,34559.68458,2.292242084,3.918521933,8.40E-06,6,0.200000003
205.74,154.94,8472,4482.352941,212.8000031,22.70000076,0,29.55553787,34559.68458,2.292242084,3.918521933,8.40E-06,7,0.600000024
205.74,154.94,4391,4482.352941,228.8000031,23.10000038,0,29.55553787,34559.68458,2.292242084,3.918521933,8.40E-06,11,0.600000024
205.74,154.94,4436,4482.352941,245.8999939,23.29999924,0,29.55553787,34559.68458,2.292242084,3.918521933,8.40E-06,21,0.5
205.74,154.94,4698,4482.352941,190.6000061,23.29999924,0,29.55553787,34559.68458,2.292242084,3.918521933,8.40E-06,22,0.5
205.74,154.94,6166,4482.352941,193.8999939,23.60000038,0,29.55553787,34559.68458,2.292242084,3.918521933,8.40E-06,23,0.5
210.82,157.48,2800,4482.352941,151.1000061,23.10000038,0,49.27455147,30051.39062,2.300785256,3.394979824,8.40E-06,4,0.200000003
210.82,157.48,7674,4482.352941,152.1999969,22.10000038,0,49.27455147,30051.39062,2.300785256,3.394979824,8.40E-06,6,0.200000003
210.82,157.48,8472,4482.352941,212.8000031,22.70000076,0,49.27455147,30051.39062,2.300785256,3.394979824,8.40E-06,7,0.300000012
274.32,157.48,2800,4482.352941,151.1000061,23.10000038,0,30.854051,35289.85345,2.280495186,3.108387633,8.40E-06,4,0.600000024
274.32,157.48,7674,4482.352941,152.1999969,22.10000038,0,30.854051,35289.85345,2.280495186,3.108387633,8.40E-06,6,0.699999988
274.32,157.48,8472,4482.352941,212.8000031,22.70000076,0,30.854051,35289.85345,2.280495186,3.108387633,8.40E-06,7,0.300000012
274.32,157.48,9353,4482.352941,157.6000061,22.5,0,30.854051,35289.85345,2.280495186,3.108387633,8.40E-06,8,0.300000012
274.32,157.48,4391,4482.352941,228.8000031,23.10000038,0,30.854051,35289.85345,2.280495186,3.108387633,8.40E-06,11,0.400000006
274.32,157.48,4574,4482.352941,229.8999939,23.20000076,0,30.854051,35289.85345,2.280495186,3.108387633,8.40E-06,15,0.400000006
274.32,157.48,4371,4482.352941,251.6999969,23.10000038,0,30.854051,35289.85345,2.280495186,3.108387633,8.40E-06,17,0.400000006
274.32,157.48,4513,4482.352941,113.5999985,22.89999962,0,30.854051,35289.85345,2.280495186,3.108387633,8.40E-06,18,0.400000006
274.32,157.48,4417,4482.352941,102.8000031,23.70000076,0,30.854051,35289.85345,2.280495186,3.108387633,8.40E-06,19,0.800000012
274.32,157.48,4436,4482.352941,245.8999939,23.29999924,0,30.854051,35289.85345,2.280495186,3.108387633,8.40E-06,21,0.900000006
274.32,157.48,4698,4482.352941,190.6000061,23.29999924,0,30.854051,35289.85345,2.280495186,3.108387633,8.40E-06,22,0.900000006
274.32,157.48,6166,4482.352941,193.8999939,23.60000038,0,30.854051,35289.85345,2.280495186,3.108387633,8.40E-06,23,0.900000006
205.74,106.68,8472,4618.181818,212.8000031,22.70000076,0,37.3695992,33655.92633,2.287436619,3.665714067,8.40E-06,7,0.300000012
205.74,106.68,4698,4618.181818,190.6000061,23.29999924,0,37.3695992,33655.92633,2.287436619,3.665714067,8.40E-06,22,0.600000024
205.74,106.68,6166,4618.181818,193.8999939,23.60000038,0,37.3695992,33655.92633,2.287436619,3.665714067,8.40E-06,23,0.600000024
218.44,99.06,2800,4482.352941,151.1000061,23.10000038,0,48.090951,30294.14133,2.341899295,4.0851453,8.40E-06,4,0.400000006
218.44,99.06,4391,4482.352941,228.8000031,23.10000038,0,48.090951,30294.14133,2.341899295,4.0851453,8.40E-06,11,0.400000006
218.44,99.06,4574,4482.352941,229.8999939,23.20000076,0,48.090951,30294.14133,2.341899295,4.0851453,8.40E-06,15,0.400000006
218.44,99.06,4371,4482.352941,251.6999969,23.10000038,0,48.090951,30294.14133,2.341899295,4.0851453,8.40E-06,17,0.400000006
218.44,99.06,4417,4482.352941,102.8000031,23.70000076,0,48.090951,30294.14133,2.341899295,4.0851453,8.40E-06,19,0.400000006
218.44,99.06,4436,4482.352941,245.8999939,23.29999924,0,48.090951,30294.14133,2.341899295,4.0851453,8.40E-06,21,0.400000006
218.44,99.06,4698,4482.352941,190.6000061,23.29999924,0,48.090951,30294.14133,2.341899295,4.0851453,8.40E-06,22,0.400000006
218.44,99.06,6166,4482.352941,193.8999939,23.60000038,0,48.090951,30294.14133,2.341899295,4.0851453,8.40E-06,23,0.400000006
281.94,104.14,2800,4482.352941,151.1000061,23.10000038,0,36.24345507,32781.08126,2.303988899,3.263519733,8.40E-06,4,0.200000003
281.94,104.14,4417,4482.352941,102.8000031,23.70000076,0,36.24345507,32781.08126,2.303988899,3.263519733,8.40E-06,19,0.400000006
281.94,104.14,4436,4482.352941,245.8999939,23.29999924,0,36.24345507,32781.08126,2.303988899,3.263519733,8.40E-06,21,1.700000048
281.94,104.14,4698,4482.352941,190.6000061,23.29999924,0,36.24345507,32781.08126,2.303988899,3.263519733,8.40E-06,22,2
281.94,104.14,2800,4482.352941,151.1000061,23.10000038,0,48.3322676,34176.18079,2.294377887,4.3436988,8.40E-06,4,0.400000006
281.94,104.14,9353,4482.352941,157.6000061,22.5,0,48.3322676,34176.18079,2.294377887,4.3436988,8.40E-06,8,0.300000012
281.94,104.14,6166,4482.352941,193.8999939,23.60000038,0,48.3322676,34176.18079,2.294377887,4.3436988,8.40E-06,23,0.5
205.74,154.94,2800,4118.918919,151.1000061,23.10000038,0,31.198789,34705.09162,2.277825523,3.131370167,8.40E-06,4,1
205.74,154.94,7674,4118.918919,152.1999969,22.10000038,0,31.198789,34705.09162,2.277825523,3.131370167,8.40E-06,6,0.500000015
205.74,154.94,8472,4118.918919,212.8000031,22.70000076,0,31.198789,34705.09162,2.277825523,3.131370167,8.40E-06,7,0.300000012
